Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	EC number	Organism (ID)	Rhea ID	AlphaFoldDB	PDB	BRENDA	BioCyc	PathwayCommons	SABIO-RK	Reactome	PlantReactome	SIGNOR	SignaLink	UniPathway
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	6.2.1.45	9606		A0AVT1;	7PVN;7PYV;7SOL;	6.2.1.45;		A0AVT1;		R-HSA-8866652;R-HSA-983168;		A0AVT1;	A0AVT1;	UPA00143;
A1L3X0	reviewed	ELOV7_HUMAN	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	ELOVL7	Homo sapiens (Human)	2.3.1.199	9606	RHEA:32727 RHEA:35327 RHEA:36475 RHEA:35379 RHEA:36503 RHEA:36511 RHEA:35319 RHEA:35315 RHEA:36523	A1L3X0;	6Y7F;	2.3.1.199;	MetaCyc:ENSG00000164181-MONOMER;	A1L3X0;	A1L3X0;	R-HSA-75876;		A1L3X0;	A1L3X0;	UPA00094;
A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	3.2.2.-; 3.5.1.-	9606	RHEA:57060 RHEA:54428 RHEA:58248 RHEA:68792	A1Z1Q3;	4IQY;6Y4Y;6Y4Z;6Y73;	3.1.1.106;		A1Z1Q3;				A1Z1Q3;	A1Z1Q3;	
A2A8L5	reviewed	PTPRF_MOUSE	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)	Ptprf Lar	Mus musculus (Mouse)	3.1.3.48	10090	RHEA:10684	A2A8L5;	3PXH;6X39;					R-MMU-388844;R-MMU-77387;R-MMU-8849932;				
A2ASS6	reviewed	TITIN_MOUSE	Titin (EC 2.7.11.1) (Connectin)	Ttn	Mus musculus (Mouse)	2.7.11.1	10090	RHEA:17989 RHEA:46608		6YJ0;8Q6T;									
A2CG49	reviewed	KALRN_MOUSE	Kalirin (EC 2.7.11.1) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	Kalrn	Mus musculus (Mouse)	2.7.11.1	10090	RHEA:17989 RHEA:46608		1WFW;7UR2;					R-MMU-193648;R-MMU-3928662;R-MMU-416476;R-MMU-416482;R-MMU-5687128;R-MMU-8980692;R-MMU-9013149;R-MMU-9013408;				
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	1.14.11.42	9606	RHEA:37899	A2RUC4;	3AL5;3AL6;	1.14.11.42;	MetaCyc:ENSG00000162971-MONOMER;	A2RUC4;		R-HSA-6782861;			A2RUC4;	UPA00375;
A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA ISPD	Homo sapiens (Human)	2.7.7.40	9606	RHEA:12456 RHEA:53872 RHEA:53612	A4D126;	4CVH;	2.7.7.40;	MetaCyc:MONOMER66-43822;	A4D126;					A4D126;	UPA00378;
A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	3.1.27.-	9606	RHEA:68096	A4D2B0;	4V0H;			A4D2B0;					A4D2B0;	
A4Q9E8	reviewed	TTLL6_MOUSE	Tubulin polyglutamylase TTLL6 (EC 6.3.2.-) (Protein polyglutamylase TTLL6) (Tubulin--tyrosine ligase-like protein 6)	Ttll6	Mus musculus (Mouse)	6.3.2.-	10090	RHEA:60144 RHEA:60148	A4Q9E8;	6VZQ;6VZR;6VZS;6VZT;6VZU;6VZV;6VZW;	6.3.2.B3;				R-MMU-8955332;				
